,k,x_k,delta_k,theta_k,f(x_k)
0,0,[3.01609848 3.734375  ],14.186992209427688,-14.186992209427688,47.358256214678946
1,1,[3.01609848 3.734375  ],7.093496104713844,3.70074341541719e-17,47.358256214678946
2,2,[3.01609848 3.734375  ],3.546748052356922,-14.186992209427688,47.358256214678946
3,3,[2.01609848 2.734375  ],3.546748052356922,-14.056426841725418,33.22519942462495
4,4,[1.01609848 1.734375  ],3.546748052356922,-13.555474532151353,19.3544906640869
5,5,[0.01609848 0.734375  ],3.546748052356922,-8.644139048032768,7.24016846987779
6,6,[-0.23390152  0.484375  ],3.546748052356922,-6.460181734312545,5.641384166847551
7,7,[0.01609848 0.234375  ],3.546748052356922,-5.902671605013796,4.585999205703309
8,8,[-0.10890152  0.109375  ],3.546748052356922,-2.3353959509848607,4.077618069560617
9,9,[-0.10890152  0.109375  ],1.773374026178461,-2.3353959509848607,4.077618069560617
10,10,[-0.04640152  0.046875  ],1.773374026178461,-2.637601297877719,3.988637224921937
11,11,[-0.10890152 -0.015625  ],1.773374026178461,-0.9333464722906095,3.8848825396010476
12,12,[-0.10890152 -0.015625  ],0.8866870130892305,-0.9333464722906095,3.8848825396010476
13,13,[-0.09327652 -0.03125   ],0.8866870130892305,-0.8097420336246349,3.8740077745002495
14,14,[-0.09327652 -0.03125   ],0.44334350654461524,-0.8097420336246349,3.8740077745002495
15,15,[-0.10890152 -0.046875  ],0.44334350654461524,-0.5648006478749804,3.8649989486123486
16,16,[-0.09327652 -0.0625    ],0.44334350654461524,-0.4538265614292619,3.859905555799398
17,17,[-0.10108902 -0.0703125 ],0.44334350654461524,-0.2244990629832898,3.8572581068714236
18,18,[-0.10108902 -0.0703125 ],0.22167175327230762,-0.2244990629832898,3.8572581068714236
19,19,[-0.10499527 -0.07421875],0.22167175327230762,-0.16815762430309744,3.8566028083112256
20,20,[-0.10499527 -0.07421875],0.11083587663615381,-0.16815762430309744,3.8566028083112256
21,21,[-0.10108902 -0.078125  ],0.11083587663615381,-0.13836065421158472,3.8561795175562326
22,22,[-0.10499527 -0.08203125],0.11083587663615381,-0.0757591623240289,3.855859426194325
23,23,[-0.10499527 -0.08203125],0.055417938318076905,-0.0757591623240289,3.855859426194325
24,24,[-0.10304214 -0.08398438],0.055417938318076905,-0.039291014480757225,3.85576981519713
25,25,[-0.10304214 -0.08398438],0.027708969159038453,-0.039291014480757225,3.85576981519713
26,26,[-0.1040187  -0.08496094],0.027708969159038453,-0.022808766121234947,3.8557451493095556
27,27,[-0.1040187  -0.08496094],0.013854484579519226,-0.022808766121234947,3.8557451493095556
28,28,[-0.10353042 -0.08544922],0.013854484579519226,-0.014644003488391786,3.8557376605249702
29,29,[-0.1040187 -0.0859375],0.013854484579519226,-0.011274857460959686,3.8557339311822894
30,30,[-0.1040187 -0.0859375],0.006927242289759613,-0.011274857460959686,3.8557339311822894
31,31,[-0.10377456 -0.08618164],0.006927242289759613,-0.003803710861926102,3.8557320905097106
32,32,[-0.10377456 -0.08618164],0.0034636211448798066,-0.003803710861926102,3.8557320905097106
33,33,[-0.10365249 -0.08630371],0.0034636211448798066,-0.0031918767509641066,3.8557318542178143
34,34,[-0.10365249 -0.08630371],0.0017318105724399033,-0.0031918767509641066,3.8557318542178143
35,35,[-0.10371353 -0.08636475],0.0017318105724399033,-0.0014412680982071047,3.855731712826632
36,36,[-0.10371353 -0.08636475],0.0008659052862199516,-0.0014412680982071047,3.855731712826632
37,37,[-0.10374404 -0.08639526],0.0008659052862199516,-0.00070750294434474,3.8557316821975265
38,38,[-0.10374404 -0.08639526],0.0004329526431099758,-0.00070750294434474,3.8557316821975265
39,39,[-0.10372879 -0.08641052],0.0004329526431099758,-0.0006726854437792975,3.8557316749647814
40,40,[-0.10374404 -0.08642578],0.0004329526431099758,-0.000347142345569318,3.855731668038989
41,41,[-0.10374404 -0.08642578],0.0002164763215549879,-0.000347142345569318,3.855731668038989
42,42,[-0.10373642 -0.08643341],0.0002164763215549879,-0.00028841211716534876,3.8557316662812227
43,43,[-0.10374404 -0.08644104],0.0002164763215549879,-0.00016696307946972855,3.855731664915437
44,44,[-0.10374404 -0.08644104],0.00010823816077749396,-0.00016696307946972855,3.855731664915437
45,45,[-0.10374023 -0.08644485],0.00010823816077749396,-9.627995463468154e-05,3.855731664501203
46,46,[-0.10374023 -0.08644485],5.411908038874698e-05,-9.627995463468154e-05,3.855731664501203
47,47,[-0.10374214 -0.08644676],5.411908038874698e-05,-6.354426064114625e-05,3.8557316643697277
48,48,[-0.10374023 -0.08644867],5.411908038874698e-05,-5.491215524411342e-05,3.855731664304196
49,49,[-0.10374214 -0.08645058],5.411908038874698e-05,-1.849960714450649e-05,3.855731664251623
50,50,[-0.10374214 -0.08645058],2.705954019437349e-05,-1.849960714450649e-05,3.855731664251623
51,51,[-0.10374214 -0.08645058],1.3529770097186744e-05,-1.849960714450649e-05,3.855731664251623
52,52,[-0.10374166 -0.08645105],1.3529770097186744e-05,-3.906070130121898e-06,3.8557316642462807
